QuickStatements to CREATE Wikidata items for all items without Wikidata
================================================================================

Total items to create: 616

Breakdown:
  - Rare words: 281
  - Ligatures/compound words: 332
  - Base category items: 3

Word                           P31 Type        Commons Category                                  
mijomi                         Rare word       Category:Mijomi (toki pona)                       
miko                           Rare word       Category:Miko (toki pona)                         
mila                           Rare word       Category:Mila (toki pona)                         
mimuki                         Rare word       Category:Mimuki (toki pona)                       
misa                           Rare word       Category:Misa (toki pona)                         
molusa                         Rare word       Category:Molusa (toki pona)                       
mono                           Rare word       Category:Mono (toki pona)                         
motan                          Rare word       Category:Motan (toki pona)                        
nalanja                        Rare word       Category:Nalanja (toki pona)                      
nalasuni                       Rare word       Category:Nalasuni (toki pona)                     
nan                            Rare word       Category:Nan (toki pona)                          
nano                           Rare word       Category:Nano (toki pona)                         
nasulin                        Rare word       Category:Nasulin (toki pona)                      
nata                           Rare word       Category:Nata (toki pona)                         
natu                           Rare word       Category:Natu (toki pona)                         
neja                           Rare word       Category:Neja (toki pona)                         
nele                           Rare word       Category:Nele (toki pona)                         
niko                           Rare word       Category:Niko (toki pona)                         
nili                           Rare word       Category:Nili (toki pona)                         
nito                           Rare word       Category:Nito (toki pona)                         
nlsn                           Rare word       Category:Nlsn (toki pona)                         
nowi                           Rare word       Category:Nowi (toki pona)                         
nu                             Rare word       Category:Nu (toki pona)                           
nusun                          Rare word       Category:Nusun (toki pona)                        
nutan                          Rare word       Category:Nutan (toki pona)                        
nuwa                           Rare word       Category:Nuwa (toki pona)                         
ojuta                          Rare word       Category:Ojuta (toki pona)                        
oke                            Rare word       Category:Oke (toki pona)                          
okepuma                        Rare word       Category:Okepuma (toki pona)                      
oki                            Rare word       Category:Oki (toki pona)                          
olala                          Rare word       Category:Olala (toki pona)                        
omekalike                      Rare word       Category:Omekalike (toki pona)                    
omekapo                        Rare word       Category:Omekapo (toki pona)                      
omen                           Rare word       Category:Omen (toki pona)                         
oni                            Rare word       Category:Oni (toki pona)                          
onono                          Rare word       Category:Onono (toki pona)                        
opa                            Rare word       Category:Opa (toki pona)                          
opasan                         Rare word       Category:Opasan (toki pona)                       
owe                            Rare word       Category:Owe (toki pona)                          
pa                             Rare word       Category:Pa (toki pona)                           
paka                           Rare word       Category:Paka (toki pona)                         
pakola                         Rare word       Category:Pakola (toki pona)                       
palensi                        Rare word       Category:Palensi (toki pona)                      
pami                           Rare word       Category:Pami (toki pona)                         
panke                          Rare word       Category:Panke (toki pona)                        
panpan                         Rare word       Category:Panpan (toki pona)                       
pasila                         Rare word       Category:Pasila (toki pona)                       
pe                             Rare word       Category:Pe (toki pona)                           
penpo                          Rare word       Category:Penpo (toki pona)                        
pensa                          Rare word       Category:Pensa (toki pona)                        
peto                           Rare word       Category:Peto (toki pona)                         
pika                           Rare word       Category:Pika (toki pona)                         
pingo                          Rare word       Category:Pingo (toki pona)                        
pipo                           Rare word       Category:Pipo (toki pona)                         
pipolo                         Rare word       Category:Pipolo (toki pona)                       
polinpin                       Rare word       Category:Polinpin (toki pona)                     
poman                          Rare word       Category:Poman (toki pona)                        
pomotolo                       Rare word       Category:Pomotolo (toki pona)                     
poni                           Rare word       Category:Poni (toki pona)                         
pula                           Rare word       Category:Pula (toki pona)                         
pulaso                         Rare word       Category:Pulaso (toki pona)                       
puwa                           Rare word       Category:Puwa (toki pona)                         
saja                           Rare word       Category:Saja (toki pona)                         
salantapotalusa                Rare word       Category:Salantapotalusa (toki pona)              
samin                          Rare word       Category:Samin (toki pona)                        
samu                           Rare word       Category:Samu (toki pona)                         
santa                          Rare word       Category:Santa (toki pona)                        
sapelipope                     Rare word       Category:Sapelipope (toki pona)                   
satun                          Rare word       Category:Satun (toki pona)                        
seka                           Rare word       Category:Seka (toki pona)                         
seki                           Rare word       Category:Seki (toki pona)                         
siiilapa                       Rare word       Category:Siiilapa (toki pona)                     
siilapa                        Rare word       Category:Siilapa (toki pona)                      
sijala                         Rare word       Category:Sijala (toki pona)                       
sijesuwa                       Rare word       Category:Sijesuwa (toki pona)                     
sikako                         Rare word       Category:Sikako (toki pona)                       
sikomo                         Rare word       Category:Sikomo (toki pona)                       
silani                         Rare word       Category:Silani (toki pona)                       
silapa                         Rare word       Category:Silapa (toki pona)                       
sipi                           Rare word       Category:Sipi (toki pona)                         
sipije                         Rare word       Category:Sipije (toki pona)                       
sisa                           Rare word       Category:Sisa (toki pona)                         
sisi                           Rare word       Category:Sisi (toki pona)                         
siwala                         Rare word       Category:Siwala (toki pona)                       
siwan                          Rare word       Category:Siwan (toki pona)                        
slape                          Rare word       Category:Slape (toki pona)                        
snoweli                        Rare word       Category:Snoweli (toki pona)                      
sokeli                         Rare word       Category:Sokeli (toki pona)                       
soni                           Rare word       Category:Soni (toki pona)                         
sowoli                         Rare word       Category:Sowoli (toki pona)                       
stella                         Rare word       Category:Stella (toki pona)                       
suke                           Rare word       Category:Suke (toki pona)                         
sulaso                         Rare word       Category:Sulaso (toki pona)                       
sunta                          Rare word       Category:Sunta (toki pona)                        
ta                             Rare word       Category:Ta (toki pona)                           
taki                           Rare word       Category:Taki (toki pona)                         
tasun                          Rare word       Category:Tasun (toki pona)                        
tawake                         Rare word       Category:Tawake (toki pona)                       
te                             Rare word       Category:Te (toki pona)                           
teken                          Rare word       Category:Teken (toki pona)                        
temi                           Rare word       Category:Temi (toki pona)                         
ten                            Rare word       Category:Ten (toki pona)                          
tenpi                          Rare word       Category:Tenpi (toki pona)                        
tensi                          Rare word       Category:Tensi (toki pona)                        
to                             Rare word       Category:To (toki pona)                           
tokana                         Rare word       Category:Tokana (toki pona)                       
token                          Rare word       Category:Token (toki pona)                        
toma                           Rare word       Category:Toma (toki pona)                         
tona                           Rare word       Category:Tona (toki pona)                         
tonpite                        Rare word       Category:Tonpite (toki pona)                      
tonyu                          Rare word       Category:Tonyu (toki pona)                        
topo                           Rare word       Category:Topo (toki pona)                         
towan                          Rare word       Category:Towan (toki pona)                        
tuwa                           Rare word       Category:Tuwa (toki pona)                         
uka                            Rare word       Category:Uka (toki pona)                          
umesu                          Rare word       Category:Umesu (toki pona)                        
unikijetesantakalu             Rare word       Category:Unikijetesantakalu (toki pona)           
unu                            Rare word       Category:Unu (toki pona)                          
usawi                          Rare word       Category:Usawi (toki pona)                        
vivi                           Rare word       Category:Vivi (toki pona)                         
votgil                         Rare word       Category:Votgil (toki pona)                       
vriska                         Rare word       Category:Vriska (toki pona)                       
wa                             Rare word       Category:Wa (toki pona)                           
waje                           Rare word       Category:Waje (toki pona)                         
wakalito                       Rare word       Category:Wakalito (toki pona)                     
waken                          Rare word       Category:Waken (toki pona)                        
waleja                         Rare word       Category:Waleja (toki pona)                       
wasoweli                       Rare word       Category:Wasoweli (toki pona)                     
wawajete                       Rare word       Category:Wawajete (toki pona)                     
we                             Rare word       Category:We (toki pona)                           
wekama                         Rare word       Category:Wekama (toki pona)                       
weko                           Rare word       Category:Weko (toki pona)                         
wen                            Rare word       Category:Wen (toki pona)                          
wi                             Rare word       Category:Wi (toki pona)                           
wiju                           Rare word       Category:Wiju (toki pona)                         
wiki                           Rare word       Category:Wiki (toki pona)                         
wikipesija                     Rare word       Category:Wikipesija (toki pona)                   
wiwi                           Rare word       Category:Wiwi (toki pona)                         
wowujiti                       Rare word       Category:Wowujiti (toki pona)                     
wuwojiti                       Rare word       Category:Wuwojiti (toki pona)                     
yupekosi                       Rare word       Category:Yupekosi (toki pona)                     
yutu                           Rare word       Category:Yutu (toki pona)                         
